"id","smartphone","facebook"
2,"yes",NA
4,"yes",NA
6,"yes",NA
9,"yes",NA
10,"yes",NA
11,"no",NA
19,"yes",NA
21,"yes",NA
18,"yes",NA
28,"no",NA
31,"yes",NA
33,"yes",NA
34,"no",NA
22,"yes",NA
35,"yes",NA
38,"yes",NA
17,"yes",NA
39,"yes",NA
41,"yes",NA
44,"yes",NA
45,"yes",NA
47,"yes",NA
48,"yes",NA
40,"yes",NA
53,"no",NA
58,"yes","regular"
59,"yes","lite"
60,"yes","lite"
63,"yes","lite"
64,"yes","lite"
56,"no","no"
69,"yes","lite"
71,"no","no"
72,"yes","regular"
50,"yes","regular"
75,"no","regular"
81,"yes","regular"
82,"yes","regular"
83,"no","no"
85,"yes","no"
74,"no","regular"
