"id","obsDay","currentMood","period","treatment"
4,16,10,"b",0
9,16,10,NA,NA
2,16,7,"b",0
10,17,1,NA,NA
6,16,8,"b",0
9,19,10,NA,NA
2,19,6,"b",0
4,19,10,"b",0
10,20,10,NA,NA
2,22,4,"b",0
9,22,10,NA,NA
4,22,10,"b",0
6,22,10,"b",0
10,23,1,NA,NA
4,25,5,"b",0
9,25,10,NA,NA
2,25,6,"b",0
6,25,6,"b",0
10,26,1,NA,NA
9,28,1,NA,NA
2,28,7,"b",0
6,28,10,"b",0
4,28,10,"b",0
2,31,6,"b",0
6,31,8,"b",0
4,31,10,"b",0
6,34,5,"b",0
4,34,10,"b",0
2,34,8,"b",0
18,36,9,"b",0
19,36,5,"b",0
6,37,10,"t",1
4,37,10,"t",1
2,38,7,"b",0
18,39,10,"b",0
19,39,8,"b",0
4,40,10,"t",1
6,40,6,"t",1
2,41,8,"b",0
18,42,8,"b",0
19,42,8,"b",0
6,43,10,"t",1
4,43,10,"t",1
2,44,9,"b",0
19,45,10,"b",0
18,45,10,"b",0
6,46,8,"t",1
4,46,10,"t",1
2,47,4,"b",0
18,48,8,"b",0
19,48,9,"b",0
21,36,NA,NA,NA
6,49,10,"t",1
4,49,10,"t",1
2,50,6,"t",1
45,50,4,"b",0
47,50,10,NA,NA
44,50,7,"b",0
39,50,8,"b",0
48,50,7,"b",0
19,51,9,"b",0
18,51,9,"b",0
6,52,6,"t",1
4,52,10,"t",1
40,52,5,"b",0
53,52,3,NA,NA
33,52,8,"b",0
17,52,7,"b",0
22,52,7,NA,NA
2,53,6,"t",1
44,53,3,"b",0
45,53,3,"b",0
39,53,8,"b",0
48,53,8,"b",0
47,53,1,NA,NA
18,54,10,"b",0
19,54,9,"b",0
22,55,6,NA,NA
40,55,4,"b",0
33,55,7,"b",0
4,55,10,"t",1
17,55,8,"b",0
6,55,8,"t",1
53,55,5,NA,NA
2,56,7,"t",1
44,56,4,"b",0
47,56,10,NA,NA
45,56,7,"b",0
39,56,7,"b",0
48,56,8,"b",0
18,57,8,"b",0
19,57,10,"b",0
33,58,9,"b",0
6,58,10,"t",1
40,58,9,"b",0
53,58,8,NA,NA
22,58,9,NA,NA
